iso3,country,continent,min_senti_bert,drop_senti_bert,averageN,Quality,HalfLife,mType,model,r-squared,sd_position_half,sd_position_525,sd_position_final,sse,u,v,gama,a,b
OMN,Oman,Asia,3/6/2020,2/29/2020,7995.717105,1,35.29817815,1,normal,0.644856927,-0.111078889,3.336240389,14.68875472,33.90483802,6.300029737,-7.794489508,0.005932123,,
PAK,Pakistan,Asia,3/19/2020,3/11/2020,17725.67105,1,6.36999958,1,normal,0.404651608,-3.878524399,-1.098424262,-1.094602394,49.42090585,0.19783389,-3.520596589,0.108706526,,
PAN,Panama,North America,3/12/2020,3/8/2020,9049.598684,1,10.97893453,1,normal,0.815193567,-3.425416366,-0.777137763,-0.723619803,14.93586454,0.235935586,-3.272225572,0.062227684,,
PER,Peru,South America,3/15/2020,3/5/2020,11871.69079,1,12.24571173,1,normal,0.937182586,-2.925986801,-1.412741518,-1.350404066,3.253208676,-0.032430245,-2.746486621,0.054971614,,
PHL,Philippines,Asia,3/12/2020,3/8/2020,147518.3947,0,2.722521083,1,normal,0.404580724,-0.111652331,1.326153991,1.32615401,10.60578962,0.488611791,-1.958086408,0.254597541,,
POL,Poland,Europe,3/12/2020,3/8/2020,8744.703947,1,7.397083422,1,normal,0.796104858,-4.739439071,-2.351654319,-2.346952817,11.76035698,-0.354987752,-2.735619899,0.093572575,,
PRI,Puerto Rico,North America,3/14/2020,3/8/2020,7715.723684,1,13.97386271,1,normal,0.964130011,-0.491979993,0.570893623,0.644079098,4.666047865,0.429898162,-1.548031397,0.047260145,,
PRT,Portugal,Europe,3/12/2020,3/7/2020,17383.99342,1,8.349757156,1,normal,0.871953156,-2.039938123,2.277791439,2.296748506,19.73996537,1.234583304,-5.161925539,0.082752003,,
PRY,Paraguay,South America,3/13/2020,3/9/2020,10778.69737,1,22.06048397,1,normal,0.86245134,-1.309082453,1.094691256,2.074395509,15.8109938,2.150840626,-4.901588793,0.024330987,,
QAT,Qatar,Asia,3/13/2020,3/7/2020,4174.210526,0,36.5,3,normal,0.863518824,0.590904545,4.140353071,,8.234760232,,,,0.038151095,-1.237847792
ROU,Romania,Europe,3/11/2020,3/4/2020,839.4013158,1,18.32122704,1,normal,0.989242975,-1.795612924,1.395802293,1.953700321,14.42157532,0.998360699,-3.027009376,0.033613144,,
RUS,Russia,Europe,3/17/2020,3/10/2020,22846.72368,1,28.68353488,1,normal,1.044286784,-1.685221661,1.090023308,6.703731897,3.953649046,5.756747172,-8.699724586,0.009963776,,
RWA,Rwanda,Africa,3/15/2020,3/8/2020,922.6578947,1,11.25042723,1,normal,0.880586087,-1.828853525,0.428729093,0.491576138,7.884211421,0.49574908,-2.529451744,0.060398821,,
SAU,Saudi Arabia,Asia,3/24/2020,3/1/2020,80597.75658,0,31,3,normal,0.785462541,0.303456166,2.666351481,,12.56053765,,,,0.039700289,-1.00582371
SDN,Sudan,Africa,3/12/2020,3/11/2020,2796.315789,1,10.1820042,1,normal,0.813640665,-0.669245935,1.48842783,1.518050893,12.13427132,0.911452493,-3.219390892,0.067408392,,
SEN,Senegal,Africa,3/22/2020,3/10/2020,2704.532895,0,3.576785453,1,normal,0.362044184,-0.726449542,-0.029885339,-0.029879615,3.390061466,0.071293479,-0.83968109,0.19378939,,
SGP,Singapore,Asia,4/4/2020,3/1/2020,3970.703947,1,16.10044081,1,normal,0.980814775,-0.732379766,1.346897834,2.36321208,6.348514436,1.890210518,-3.524780334,0.031914343,,
SLE,Sierra Leone,Africa,3/13/2020,3/10/2020,745.0789474,0,25.17270844,1,normal,1.139648831,-0.08164951,2.493770941,4.348455496,9.703261468,2.325363472,-3.985062065,0.018205268,,
SLV,El Salvador,North America,3/31/2020,3/8/2020,3556.368421,0,1.28710568,1,normal,0.114725297,-4.559006965,-3.385836484,-3.385836484,23.58958484,-0.84033927,-1.499276291,0.538531677,,
SOM,Somalia,Africa,3/21/2020,3/9/2020,299.8289474,0,1.89068214,1,normal,0.22043949,-1.335093695,0.032382894,0.032382895,15.34681773,0.11225216,-1.626590074,0.366612222,,
SRB,Serbia,Europe,3/14/2020,3/5/2020,4217.546053,1,9.719012163,1,normal,0.772302884,-4.249825811,-1.150183787,-1.111750294,14.300577,0.224418903,-4.391105915,0.070686671,,
SVK,Slovakia,Europe,3/14/2020,3/8/2020,376.0197368,1,23.89466839,1,normal,0.896032374,-1.55280415,1.779094708,3.798716996,15.24670461,2.729609143,-5.672358134,0.020257013,,
SVN,Slovenia,Europe,3/19/2020,3/6/2020,723.8881579,0,1.165574341,1,normal,0.075905967,-1.757694357,-1.268079899,-1.268079899,4.298623105,-0.308616539,-0.51437826,0.594682944,,
