,Nation,drop_senti_bert,drop_senti_bert_quan25,drop_senti_bert_quan75,min_senti_bert,min_senti_bert_quan25,min_senti_bert_quan75,senti_bert_averageN,min_senti_bert_std,min_senti_bert_quan25_std,min_senti_bert_quan75_std
28,COL,2020-3-8,2020-3-8,2020-3-8,2020-3-15,2020-3-15,2020-3-18,48681.90132,2020-3-16,2020-3-16,2020-3-17
29,CRI,2020-3-5,2020-3-5,2020-3-5,2020-3-12,2020-3-12,2020-3-29,3712.230263,2020-3-11,2020-3-12,2020-3-10
30,CUB,2020-3-9,2020-3-9,2020-3-9,2020-3-20,2020-3-20,2020-4-11,915.6315789,2020-3-20,2020-3-20,2020-4-11
31,CYP,2020-3-8,2020-3-8,2020-3-8,2020-3-12,2020-3-12,2020-3-12,1498.519737,2020-3-12,2020-3-12,2020-3-12
32,CZE,2020-3-7,2020-3-7,2020-3-7,2020-3-13,2020-3-13,2020-3-13,2400.453947,2020-3-13,2020-3-12,2020-3-13
33,DEU,2020-2-25,2020-2-25,2020-2-25,2020-3-14,2020-3-14,2020-3-13,27409.25658,2020-3-14,2020-3-14,2020-3-14
34,DNK,2020-3-4,2020-3-4,2020-3-4,2020-3-13,2020-3-13,2020-3-14,2310.453947,2020-3-12,2020-3-12,2020-3-12
35,DOM,2020-3-8,2020-3-8,2020-3-8,2020-3-20,2020-3-20,2020-3-22,8684.940789,2020-3-21,2020-3-20,2020-3-21
36,DZA,2020-3-9,2020-3-9,2020-3-9,2020-3-20,2020-3-20,2020-3-21,1734.940789,2020-3-20,2020-3-20,2020-3-21
37,ECU,2020-3-8,2020-3-8,2020-3-8,2020-3-17,2020-3-17,2020-3-17,8271.394737,2020-3-17,2020-3-17,2020-3-18
38,EGY,2020-3-7,2020-3-7,2020-3-7,2020-3-14,2020-3-14,2020-3-23,33163.67763,2020-3-14,2020-3-13,2020-3-24
39,ESP,2020-3-8,2020-3-8,2020-3-8,2020-3-13,2020-3-13,2020-3-13,98868.53289,2020-3-13,2020-3-13,2020-3-13
40,EST,2020-3-10,2020-3-10,2020-3-10,2020-3-20,2020-3-20,2020-3-21,272.875,2020-3-20,2020-3-20,2020-3-21
41,ETH,2020-3-11,2020-3-11,2020-3-11,2020-3-13,2020-3-12,2020-3-15,354.7368421,2020-3-14,2020-3-12,2020-3-15
42,FIN,2020-3-8,2020-3-8,2020-3-8,2020-3-14,2020-3-12,2020-3-15,3165.927632,2020-3-13,2020-3-13,2020-3-14
43,FRA,2020-3-8,2020-3-8,2020-3-8,2020-3-14,2020-3-14,2020-3-15,59501.875,2020-3-14,2020-3-14,2020-3-15
44,GBR,2020-3-2,2020-3-2,2020-3-2,2020-3-15,2020-3-15,2020-3-15,196267.6118,2020-3-15,2020-3-15,2020-3-15
45,GEO,2020-3-9,2020-3-9,2020-3-9,2020-3-13,2020-3-24,2020-3-13,333.6118421,2020-3-13,2020-3-11,2020-3-15
46,GHA,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-15,2020-3-16,14196.50658,2020-3-15,2020-3-15,2020-3-15
47,GMB,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-14,2020-3-16,237.7302632,2020-3-16,2020-3-16,2020-3-17
48,GRC,2020-3-5,2020-3-5,2020-3-5,2020-3-28,2020-3-28,2020-3-24,2395.203947,2020-3-28,2020-3-28,2020-3-24
49,GTM,2020-3-9,2020-3-9,2020-3-9,2020-3-16,2020-3-16,2020-3-17,5004.940789,2020-3-16,2020-3-16,2020-3-16
50,GUM,2020-3-11,2020-3-11,2020-3-11,2020-3-20,2020-3-20,2020-3-30,276.9078947,2020-3-20,2020-3-20,2020-3-30
51,HKG,2020-2-22,2020-2-22,2020-2-22,2020-3-18,2020-3-18,2020-3-18,1614.730263,2020-3-18,2020-3-18,2020-3-18
52,HND,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-15,2020-3-17,3574.973684,2020-3-15,2020-3-15,2020-3-16
53,HUN,2020-3-7,2020-3-7,2020-3-7,2020-3-9,2020-3-9,2020-3-12,1137.092105,2020-3-10,2020-3-10,2020-3-12
54,IDN,2020-3-11,2020-3-11,2020-3-11,2020-3-17,2020-3-17,2020-3-21,155041.3355,2020-3-18,2020-3-6,2020-3-20
55,IMN,2020-3-10,2020-3-10,2020-3-10,2020-3-17,2020-3-17,2020-3-15,284.1052632,2020-3-16,2020-3-17,2020-3-15
56,IND,2020-3-10,2020-3-10,2020-3-10,2020-3-26,2020-3-23,2020-4-22,144943.0197,2020-3-26,2020-3-26,2020-4-22
57,IRL,2020-2-25,2020-2-25,2020-2-25,2020-3-12,2020-3-12,2020-3-12,14840.57237,2020-3-12,2020-3-12,2020-3-12
58,IRN,2020-2-18,2020-2-18,2020-2-18,2020-2-21,2020-2-21,2020-2-21,6343.973684,2020-2-22,2020-2-22,2020-2-21
59,IRQ,2020-2-19,2020-2-19,2020-2-19,2020-2-27,2020-2-27,2020-2-29,7028.164474,2020-2-28,2020-2-22,2020-3-1
60,ISL,2020-2-26,2020-2-26,2020-2-26,2020-4-4,2020-3-2,2020-3-28,1120.769737,2020-4-4,2020-3-3,2020-3-29
61,ISR,2020-3-3,2020-3-3,2020-3-3,2020-3-17,2020-3-18,2020-3-17,6421.203947,2020-3-17,2020-3-18,2020-3-17
62,ITA,2020-2-20,2020-2-20,2020-2-20,2020-3-10,2020-3-9,2020-3-10,33028.875,2020-3-10,2020-3-9,2020-3-10
63,JAM,2020-3-9,2020-3-9,2020-3-9,2020-3-13,2020-3-13,2020-3-13,5369.236842,2020-3-13,2020-3-12,2020-3-13
64,JOR,2020-3-9,2020-3-9,2020-3-9,2020-3-12,2020-3-13,2020-3-14,3690.598684,2020-3-13,2020-3-13,2020-3-14
65,JPN,2020-2-23,2020-2-23,2020-2-23,2020-3-29,2020-3-30,2020-3-28,216287.6513,2020-3-30,2020-3-30,2020-3-29
66,KAZ,2020-3-11,2020-3-11,2020-3-11,2020-3-18,2020-3-16,2020-3-18,706.2828947,2020-3-17,2020-3-16,2020-3-18
